"response_id","survey_id","survey_title","session_id","session_num","evaluator_token","pattern_id","pattern_title","pattern_link","started_at","completed_at","duration_ms","duration_human","submitted_at","session_duration_ms","session_duration_human","q_q_overall_helpfulness","q_q_reusability","q_q_clarity_documentation","q_q_adoption_threshold","q_q_adoption_justification","q_q_time_saved","q_q_additional_observations"
1,2,experts evaluation,21,1,3tes7CcuThEJQrvMO1ACbshlBQNcvMDLKj7W69EAzc8,5,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-135-01/ontology.ttl,2026-03-31T07:18:35.255000,2026-03-31T07:23:54.843000,319588,5m 19s,2026-03-31T07:41:17.483720,1373086,22m 53s,4,4,2,Yes,The patterns seems ok ,76–100%,"The name values could be defined as a string
Not sure if the pattern capture the fact that a person could have multiple name at the same time"
2,2,experts evaluation,21,1,3tes7CcuThEJQrvMO1ACbshlBQNcvMDLKj7W69EAzc8,5,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-135-01/ontology.ttl,2026-03-31T07:23:54.843000,2026-03-31T07:29:42.432000,347589,5m 47s,2026-03-31T07:41:17.483730,1373086,22m 53s,3,3,2,No,Do not understood the link between river and books...,1–25%,"domain and range never attributed
I do not understand the relation between a book/author and the rivers mentioned in the CQ
Maybe that the direction may be better defined with spatial attributes/relations, but if the data comes book it this property could be better in string / depends of the usage
The Show class is an over interpretation  of the RQ"
3,2,experts evaluation,21,1,3tes7CcuThEJQrvMO1ACbshlBQNcvMDLKj7W69EAzc8,2,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-134-01/ontology.ttl,2026-03-31T07:29:42.432000,2026-03-31T07:34:05.307000,262875,4m 22s,2026-03-31T07:41:17.483735,1373086,22m 53s,4,2,3,Maybe,The given ODP is long and more complex than other the analysis of this one requiere more time than previous proposals,1–25%,"Given the fact that we have here a complex artefact it is hard to take a quick decision about the usefullness of the produced artefact. May requiere to create instances, and back-and-forth QA scenario to have a real evaluation of this one"
4,2,experts evaluation,21,1,3tes7CcuThEJQrvMO1ACbshlBQNcvMDLKj7W69EAzc8,2,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-134-01/ontology.ttl,2026-03-31T07:34:05.307000,2026-03-31T07:41:19.136000,433829,7m 13s,2026-03-31T07:41:17.483738,1373086,22m 53s,3,3,3,Yes,seems ok but will requiere refinement,26–50%,"Miss range/domain for property
Not easy to understand which property express ""creation""
Issue date not defined as a class > Ok but may be interesting to restrict in the relation the range to xsd:date for example
It may miss an property related to the Access date

The micro-ontology generated is very general, not really restrictive and miss the occasion to clearly constraint the range/domain which may requiere some additionnal work/ and verification"
5,2,experts evaluation,27,6,nvMSXgnLx6TueQ7R54uraOubqbeOfDBoHuQAjOnUebc,1,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-133-02/ontology.ttl,2026-03-31T13:01:39.077000,2026-03-31T13:08:54.547000,435469,7m 15s,2026-03-31T13:14:08.033314,763078,12m 43s,4,3,4,Maybe,,51–75%,It is a generic description. Expert can give more details.
6,2,experts evaluation,27,6,nvMSXgnLx6TueQ7R54uraOubqbeOfDBoHuQAjOnUebc,1,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-133-02/ontology.ttl,2026-03-31T13:08:54.547000,2026-03-31T13:10:24.799000,90252,1m 30s,2026-03-31T13:14:08.033322,763078,12m 43s,4,4,4,Yes,,51–75%,
7,2,experts evaluation,27,6,nvMSXgnLx6TueQ7R54uraOubqbeOfDBoHuQAjOnUebc,9,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2025-150-01/ontology.ttl,2026-03-31T13:10:24.799000,2026-03-31T13:14:05.241000,15193,15s,2026-03-31T13:14:08.033326,763078,12m 43s,3,4,3,Yes,,26–50%,
8,2,experts evaluation,27,6,nvMSXgnLx6TueQ7R54uraOubqbeOfDBoHuQAjOnUebc,9,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2025-150-01/ontology.ttl,2026-03-31T13:13:07.253000,2026-03-31T13:14:07.930000,2688,2s,2026-03-31T13:14:08.033330,763078,12m 43s,3,3,3,Maybe,,1–25%,
9,2,experts evaluation,28,7,8S9j_OCo9Ie05C6bzsZAU3tptY5dlhxs8pF-7h3J6X0,13,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2026-155-01/ontology.ttl,2026-03-31T13:58:43.222000,2026-03-31T14:12:47.601000,844378,14m 4s,2026-03-31T14:43:56.604777,2756278,45m 56s,4,5,5,Yes,The ontology provides a clear structure and represents a good starting point for the development of a complete final ontology.,26–50%,
10,2,experts evaluation,28,7,8S9j_OCo9Ie05C6bzsZAU3tptY5dlhxs8pF-7h3J6X0,13,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2026-155-01/ontology.ttl,2026-03-31T14:12:47.602000,2026-03-31T14:22:15.578000,567976,9m 27s,2026-03-31T14:43:56.604786,2756278,45m 56s,3,2,2,Maybe,"This version covers more domain requirements than the previous one, but it requires more effort to validate and leads to a slower development process. I feel less confident starting from this ontology to build the final version compared to the previous one, even though the previous one lacks several concepts.",1–25%,
