odp_id,title,publication_date,source_url,has_scenario,has_cq,notes
<<<<<<< HEAD
odp-001,Water quality monitoring pattern (candidate),2025-01-15,https://example.org/water-pattern,yes,yes,Candidate from recent water domain literature
odp-002,Cultural heritage exhibition pattern (candidate),2024-06-20,https://example.org/heritage-pattern,yes,no,Needs CQ derivation
odp-003,Legal participation role pattern extension (candidate),2024-10-10,https://example.org/legal-pattern,no,no,Needs scenario and CQ elicitation
odp-004,Clinical pathway event pattern (candidate),2023-11-30,https://example.org/clinical-pattern,yes,yes,Eligible for unseen setting checks
=======
ODP-006,Disaster Response Resource Allocation Pattern,2025-03-05,https://ontologydesignpatterns.org/wiki/Submissions:Disaster_Response_Resource_Allocation,yes,yes,Newest pattern in catalog; high unseen likelihood.
ODP-004,Research Data Usage License Pattern,2024-01-30,https://ontologydesignpatterns.org/wiki/Submissions:Research_Data_Usage_License,yes,yes,Strong candidate for benchmark-style experiments.
ODP-002,Clinical Trial Protocol Pattern,2023-02-09,https://ontologydesignpatterns.org/wiki/Submissions:Clinical_Trial_Protocol,yes,yes,Contains worked scenario and competency questions.
ODP-005,Circular Economy Product Passport Pattern,2024-06-12,https://ontologydesignpatterns.org/wiki/Submissions:Circular_Economy_Product_Passport,yes,no,Scenario present and links to external documentation.
ODP-003,Urban Mobility Event Pattern,2023-07-21,https://ontologydesignpatterns.org/wiki/Submissions:Urban_Mobility_Event,no,yes,Competency questions present but no explicit scenario section.
>>>>>>> origin/main
